prison	name	official-name	organisation	address	start-date	end-date
AC	Altcourse	HMP/YOI Altcourse	company:02984969	38076557		
AS	Ashfield	HMP Ashfield	company:03403669	640757		
AG	Askham Grange	HMP/YOI Askham Grange		100052211414		
AY	Aylesbury	HMYOI Aylesbury		766259071		
BF	Bedford	HMP/YOI Bedford		100081206238		
BA	Belmarsh	HMP/YOI Belmarsh		100023266926		
BM	Birmingham	HMP Birmingham	company:00390328	100071434380		
BH	Blantyre House	HMP Blantyre House		10000064793		
BS	Brinsford	HMP/YOI Brinsford		200004529143		
BL	Bristol	HMP/YOI Bristol		221691		
BX	Brixton	HMP Brixton		200000487964		
BZ	Bronzefield	HMP/YOI Bronzefield (F)	company:04334205	33043320		
BC	Buckley Hall	HMP Buckley Hall		23107795		
BN	Bullingdon	HMP/YOI Bullingdon		100120801929		
BR	Bure	HMP Bure		10023452387		
CF	Cardiff	HMP/YOI Cardiff		200002933741		
CW	Channings Wood	HMP Channings Wood		10032952569		
CD	Chelmsford	HMP/YOI Chelmsford		200004625000		
CL	Coldingley	HMP Coldingley		200001339117		
CK	Cookham Wood	HMYOI Cookham Wood		100062374701		
DA	Dartmoor	HMP Dartmoor		10001330266		
DT	Deerbolt	HMYOI Deerbolt		10070413833		
DN	Doncaster	HMP/YOI Doncaster	company:00242246	100052207601		
DG	Dovegate	HMP Dovegate	company:03471077	10008039764		
DV	Dover			10034883299		2015
DW	Downview	HMP/YOI Downview		68136669		
DH	Drake Hall	HMP/YOI Drake Hall		10002088530		
DM	Durham	HMP/YOI Durham		100110738556		
ES	East Sutton Park	HMP/YOI East Sutton Park		10022897161		
EW	Eastwood Park	HMP/YOI Eastwood Park		582216		
EY	Elmley	HMP/YOI Elmley		100062087837		
EE	Erlestoke	HMP Erlestoke		10000177465		
EX	Exeter	HMP/YOI Exeter		100041142520		
FS	Featherstone	HMP Featherstone		100032229278		
FM	Feltham	HMYOI Feltham		100023398319		
FD	Ford	HMP Ford		200002714169		
FB	Forest Bank	HMP/YOI Forest Bank	company:03509050	100012692516		
FH	Foston Hall	HMP/YOI Foston Hall		10000819194		
FK	Frankland	HMP Frankland		10001009852		
FN	Full Sutton	HMP Full Sutton		200000641988		
GH	Garth	HMP Garth		200004064874		
GT	Gartree	HMP Gartree		100030489952		
GP	Glen Parva	HMP/YOI Glen Parva		10010147357		
GN	Grendon	HMP Grendon		766293688		
GM	Guys Marsh	HMP Guys Marsh		10013217671		
HR	Haslar			37032487		2015
