prison	nomis	name	official-name	start-date	end-date
AK	AKI	Acklington	HMP Acklington		2011-10-31
AL	ALI	Albany	HMP Albany		2009-04
AW	AWI	Ashwell	HMP Ashwell		2011
BT	BTI	Blakenhurst	HMP Blakenhurst		2008-06-25
BD	BDI	Blundeston	HMP Blundeston		2013-12
BK	BKI	Brockhill	HMP Brockhill		2008-06-25
BU	BUI	Bullwood Hall	HMP Bullwood Hall		2013-03-28
CH	CHI	Camp Hill	HMP Camp Hill		2009-04
CY	CYI	Canterbury	HMP Canterbury		2013-03-31
CS	CSI	Castington	HMP Castington		2011-10-31
DR	DRI	Dorchester	HMP Dorchester		2013-12
DV	DVI	Dover	HMIRC Dover		2015
NE	NEI	Edmunds Hill	HMP Edmunds Hill		2011-04
EV	EVI	Everthorpe	HMP Everthorpe		2014-04
GL	GLI	Gloucester	HMP Gloucester		2013
HR	HRI	Haslar	HMIRC Haslar		2015
HG	HGI	Hewell Grange	HMP Hewell Grange		2008-06-25
HY	HYI	Holloway	HMP Holloway		2016-07
PT	PTI	Kingston	HMP Kingston		2013-03-28
LM	LMI	Latchmere House	HMP Latchmere House		2011-09
LA	LAI	Lancaster	HMP Lancaster		2011
NN	NNI	Northallerton	HMP Northallerton		2013-12
PK	PKI	Parkhurst	HMP Parkhurst		2009-04
RD	RDI	Reading	HMP Reading		2013-11
SM	SMI	Shepton Mallet	HMP Shepton Mallet		2013-02-28
SY	SYI	Shrewsbury	HMP Shrewsbury		2013-03
WA	WAI	The Weare	HMP The Weare		2006
WB	WBI	Wellingborough	HMP Wellingborough		2012-12-21
WO	WOI	Wolds	HMP Wolds		2014-04
