location	code
ACKLINGTON	AKCM
ALBANY	ALCM
ALTCOURSE	ACAM
ASHFIELD	ASKM
ASHWELL	AWCM
ASKHAM GRANGE	AGDF
AYLESBURY	AYIM
BEDFORD	BFBM
BELMARSH	BAAM
BIRMINGHAM	BMBM
BLANTYRE HOUSE	BHCM
BLUNDESTON	BDCM
BRINSFORD	BSAM
BRISTOL	BLAM
BRIXTON	BXBM
BRONZEFIELD	BZAF
BUCKLEY HALL	BCCM
BULLINGDON	BNAM
BULLWOOD HALL	BUCM
BURE	BRCM
CAMP HILL	CHCM
CANTERBURY	CYCM
CARDIFF	CFBM
CASTINGTON	CSAM
CHANNINGS WOOD	CWCM
CHELMSFORD	CDAM
COLDINGLEY	CLCM
COOKHAM WOOD	CKLM
DARTMOOR	DACM
DEERBOLT	DTIM
DONCASTER	DNAM
DORCHESTER	DRAM
DOVEGATE	DGCM
DOVER(IRC)	DVAM
DOWNVIEW	DWBF
DRAKE HALL	DHDF
DURHAM	DMBM
EAST SUTTON PARK	ESDF
EASTWOOD PARK	EWBF
EDMUNDS HILL	NECM
ELMLEY	EYAM
ERLESTOKE	EECM
EVERTHORPE	EVCM
EXETER	EXAM
FEATHERSTONE	FSCM
FELTHAM	FMAM
FORD	FDDM
FOREST BANK	FBAM
FOSTON HALL	FHBF
FRANKLAND	FKCM
FULL SUTTON	FNCM
GARTH	GHCM
GARTREE	GTCM
GLEN PARVA	GPAM
GLOUCESTER	GLBM
GRENDON	GNCM
GUYS MARSH	GMCM
HASLAR(IRC)	HRAM
HAVERIGG	HVCM
HEWELL	HEBM
HIGHDOWN	HOAM
HIGHPOINT SOUTH	HPCM
HINDLEY	HIIM
HOLLESLEY BAY	HBDM
HOLLOWAY	HYBF
HOLME HOUSE	HHBM
HULL	HLAM
HUNTERCOMBE	HCLM
KENNET	KTCM
KINGSTON	PTCM
KIRKHAM	KMDM
KIRKLEVINGTON	KVCM
LANCASTER CASTLE	LACM
LANCASTER FARMS	LFAM
LATCHMERE HOUSE	LMCM
LEEDS	LEBM
LEICESTER	LCBM
LEWES	LWAM
LEYHILL	LYDM
LINCOLN	LIBM
LINDHOLME(IRC)	LHAM
LITTLEHEY	LTCM
LIVERPOOL	LPBM
LONG LARTIN	LLCM
LOW NEWTON	LNBF
LOWDHAM GRANGE	LGCM
MAIDSTONE	MSCM
MANCHESTER	MRBM
MOORLAND (CLOSED)	MDCM
MOORLAND (OPEN)	HDDM
MORTON HALL	MHCF
MOUNT	MTCM
NEW HALL	NHBF
NORTH SEA CAMP	NSDM
NORTHALLERTON	NNIM
NORWICH	NWAM
NOTTINGHAM	NMBM
ONLEY	ONCM
PARC	PRAM
PARKHURST	PKCM
PENTONVILLE	PVBM
PETERBOROUGH	PBBM
PORTLAND	PDIM
PRESCOED	UKDM
PRESTON	PNBM
RANBY	RNCM
READING	RDAM
RISLEY	RSCM
ROCHESTER	RCIM
RYE HILL	RHCM
SEND	SDCF
SHEPTON MALLET	SMCM
SHREWSBURY	SYBM
SPRING HILL	GNDM
STAFFORD	SFCM
STANDFORD HILL	EHDM
STOCKEN	SKCM
STOKE HEATH	SHIM
STYAL	STCF
SUDBURY	SUDM
SWALESIDE	SLCM
SWANSEA	SWBM
SWINFEN HALL	SNCM
THORN CROSS	TCDM
USK	UKVM
VERNE	VECM
WAKEFIELD	WDCM
WANDSWORTH	WWBM
WARREN HILL	WIKM
WAYLAND	WLCM
WEALSTUN	WECM
WELLINGBOROUGH	WBCM
WERRINGTON	WNLM
WETHERBY	WYKM
WHATTON	WTVM
WHITEMOOR	WRCM
WINCHESTER	WCBM
WOLDS	WOCM
WOODHILL	WHAM
WORMWOOD	WSBM
WYMOTT	WMCM
