nomis	name
ACI	ALTCOURSE (HMP)
AGI	ASKHAM GRANGE (HMP & YOI)
ASI	ASHFIELD (HMP)
AYI	AYLESBURY (HMP)
BAI	BELMARSH (HMP)
BCI	BUCKLEY HALL (HMP)
BFI	BEDFORD (HMP)
BHI	BLANTYRE HOUSE (HMP)
BLI	BRISTOL (HMP)
BMI	BIRMINGHAM (HMP)
BNI	BULLINGDON (HMP)
BRI	BURE (HMP)
BSI	BRINSFORD (HMP)
BWI	BERWYN (HMP)
BXI	BRIXTON (HMP)
BZI	BRONZEFIELD (HMP)
CDI	CHELMSFORD (HMP)
CFI	CARDIFF (HMP)
CKI	COOKHAM WOOD (HMP)
CLI	COLDINGLEY (HMP)
CWI	CHANNINGS WOOD (HMP)
DAI	DARTMOOR (HMP)
DGI	DOVEGATE (HMP)
DHI	DRAKE HALL (HMP & YOI)
DMI	DURHAM (HMP)
DNI	DONCASTER (HMP)
DTI	DEERBOLT (HMPYOI)
DVI	Dover Immigration Removal Centre
DWI	DOWNVIEW (HMP)
EEI	ERLESTOKE (HMP)
EHI	STANDFORD HILL (HMP)
ESI	EAST SUTTON PARK (HMP & YOI)
EWI	EASTWOOD PARK (HMP)
EXI	EXETER (HMP)
EYI	ELMLEY (HMP)
FBI	FOREST BANK (HMP & YOI)
FDI	FORD (HMP)
FHI	FOSTON HALL (HMP)
FKI	FRANKLAND (HMP)
FMI	FELTHAM (HMP & YOI)
FNI	FULL SUTTON (HMP)
FSI	FEATHERSTONE (HMP)
GHI	GARTH (HMP)
GMI	GUYS MARSH (HMP)
GNI	GRENDON (HMP)
GPI	GLEN PARVA (HMPYOI & RC)
GTI	GARTREE (HMP)
HBI	HOLLESLEY BAY (HMP)
HCI	HUNTERCOMBE (HMP)
HDI	HATFIELD (HMP & YOI)
HEI	HMP HEWELL
HHI	HOLME HOUSE (HMP)
HII	HINDLEY (HMP & YOI)
HLI	HULL (HMP)
HMI	HUMBER (HMP)
HOI	HIGH DOWN (HMP)
HPI	HIGHPOINT (HMP)
HRI	Haslar Immigration Removal Centre
HVI	HAVERIGG (HMP)
ISI	ISIS HMP/YOI
IWI	ISLE OF WIGHT (HMP)
KMI	KIRKHAM (HMP)
KTI	KENNET (HMP)
KVI	KIRKLEVINGTON GRANGE (HMP)
LCI	LEICESTER (HMP)
LEI	LEEDS (HMP)
LFI	LANCASTER FARMS (HMPYOI)
LGI	LOWDHAM GRANGE (HMP)
LHI	LINDHOLME (HMP)
LII	LINCOLN (HMP)
LLI	LONG LARTIN (HMP)
LNI	LOW NEWTON (HMP)
LPI	LIVERPOOL (HMP)
LTI	LITTLEHEY (HMP)
LWI	LEWES (HMP)
LYI	LEYHILL (HMP)
MDI	MOORLAND (HMP & YOI)
MHI	MORTON HALL IMMIGRATION REMOVAL CENTRE
MRI	MANCHESTER (HMP)
MSI	MAIDSTONE (HMP)
MTI	THE MOUNT (HMP)
MWI	MEDWAY (STC)
NHI	NEW HALL (HMP)
NLI	NORTHUMBERLAND (HMP)
NMI	NOTTINGHAM (HMP)
NSI	NORTH SEA CAMP (HMP)
NWI	NORWICH (HMP & YOI)
ONI	ONLEY (HMP)
OWI	OAKWOOD (HMP)
PBI	PETERBOROUGH (HMP)
PDI	PORTLAND (HMPYOI)
PFI	PETERBOROUGH FEMALE HMP
PNI	PRESTON (HMP)
PRI	PARC (HMP)
PVI	PENTONVILLE (HMP)
RCI	ROCHESTER (HMP & YOI)
RHI	RYE HILL (HMP)
RNI	RANBY (HMP)
RSI	RISLEY (HMP)
SDI	SEND (HMP)
SFI	STAFFORD (HMP)
SHI	STOKE HEATH (HMPYOI)
SKI	STOCKEN (HMP)
SLI	SWALESIDE (HMP)
SNI	SWINFEN HALL (HMP)
SPI	SPRING HILL (HMP)
STI	STYAL (HMP & YOI)
SUI	SUDBURY (HMP & YOI)
SWI	SWANSEA (HMP)
TCI	THORN CROSS (HMPYOI)
TRN	TRANSFER
TSI	THAMESIDE (HMP)
UKI	USK (HMP)
UPI	PRESCOED (HMP & YOI)
VEI	The Verne Immigration Removal Centre
WCI	WINCHESTER (HMP)
WDI	WAKEFIELD (HMP)
WEI	WEALSTUN (HMP)
WHI	WOODHILL (HMP)
WII	WARREN HILL (HMP)
WLI	WAYLAND (HMP)
WMI	WYMOTT (HMP)
WNI	WERRINGTON (HMPYOI)
WRI	WHITEMOOR (HMP)
WSI	WORMWOOD SCRUBS (HMP)
WTI	WHATTON (HMP)
WWI	WANDSWORTH (HMP)
WYI	WETHERBY (HMPYOI)
