lids	nomis	name
AK	AKI	Acklington
AN		Aidington
AL	ALI	Albany
AC	ACI	Altcourse
AS	ASI	Ashfield
AW	AWI	Ashwell
AG	AGI	Askham Grange
AY	AYI	Aylesbury
BF	BFI	Bedford
BA	BAI	Belmarsh
BM	BMI	Birmingham
BT	BTI	Blakenhurst
BH	BHI	Blantyre House
BD	BDI	Blundeston
BS	BSI	Brinsford
BL	BLI	Bristol
BX	BXI	Brixton
BK	BKI	Brockhill
BZ	BZI	Bronzefield
BC	BCI	Buckley Hall
BNB	BNI	Bullingdon
BU	BUI	Bullwood Hall
	BRI	Bure
CH	CHI	Camp Hill
CY	CYI	Canterbury
CF	CFI	Cardiff
CS	CSI	Castinglon
CW	CWI	Channings Wood
CD	CDI	Chelmsford
CR		Colchester
CL	CLI	Coldingley
CK	CKI	Cookham Wood
DA	CYI	Dartmoor
DT	DTI	Deerbolt
DN	DNI	Doncaster
DR	DRI	Dorchester
	DGI	Dovegate
DV	DVI	Dover
DW	DWI	Downview
DH	DHI	Drake Hall
DM	DMI	Durham
ES	ESI	East Sutton Park
EP	EWI	Eastwood Park
	NEI	Edmunds Hill
EY	EYI	Elmley
EE	EEI	Erlestoke
EV	EVI	Everthorpe
EX	EXI	Exeter
FS	FSI	Featherstone
FM	FMI	Feltham
FD	FDI	Ford
FB	FBI	Forest Bank
FH	FHI	Foston Hall
FK	FKI	Frankland
FN	FNI	Full Sutton
GH	GHI	Garth
GT	GTI	Gartree
GP	GPI	Glen Parva
GL	GLI	Gloucester
GN		Grendon
	GNI	Grendon/Springhill
GM	GMI	Guys Marsh
HR	HRI	Haslar
HD		Hatfield
HV	HVI	Haverigg
	HEI	Hewell
HG	HGI	Hewell Grange
HO	HOI	High Down
HP	HPI	Highpoint
HI	HII	Hindley
HB	HBI	Hollesley Bay
HY	HYI	Holloway
HH	HHI	Holme House
HL	HLI	Hull
	HMI	Humber
HC	HCI	Huntercombe
KT	KTI	Kennet
PT	PTI	Kingston
KM	KMI	Kirkham
KV	KVI	Kirklevington
LM	LMI	Latchmere House
LA	LAI	Lancaster
LF	LFI	Lancaster Farms
LE	LEI	Leeds
LC	LCI	Leicester
LW	LWI	Lewes
LY	LYI	Leyhill
LI	LII	Lincoln
LH	LHI	Lindholme
LT	LTI	Littlehey
LP	LPI	Liverpool
LL	LLI	Long Lartin
LN	LNI	Low Newton
LG	LGI	Lowdham Grange
MS	MSI	Maidstone
MR	MRI	Manchester
MD		Moorland
	MDI	Moorland Closed
	HDI	Moorland Open
MH	MHI	Morton Hall
MT	MTI	Mount
NH	NHI	New Hall
NS	NSI	North Sea Camp
NN	NNI	Northallerton
NW	NWI	Norwich
NM	NMI	Nottingham
ON	ONI	Onley
BNY		Oxford
PA	PRI	Parc
PK	PKI	Parkhurst
PB	PBI	Peterborough
PV	PVI	Pentonville
PD	PDI	Portland
	UPI	Prescoed
PN	PNI	Preston
RN	RNI	Ranby
RD	RDI	Reading
RS	RSI	Risley
RC	RCI	Rochester
RH	RHI	Rye Hill
SD	SDI	Send
SM	SMI	Shepton Mallet
SY	SYI	Shrewsbury
SP	SPI	Spring Hill (See Grendon)
SF	SFI	Stafford
EH	EHI	Standford Hill
SK	SKI	Stocken
SH	SHI	Stoke Heath
ST	STI	Styal
SU	SUI	Sudbury
SL	SLI	Swaleside
SW	SWI	Swansea
SN	SNI	Swinfen Hall
TACK		Tackler Analytical
	WAI	The Weare
TC	TCI	Thorn Cross
UK	UKI	Usk/Prescoed
VE	VEI	Verne
WD	WDI	Wakefield
WW	WWI	Wandsworth
	WII	Warren Hill
WL	WLI	Wayland
WE	WEI	Wealstun
WB	WBI	Wellingborough
WN	WNI	Werrington
WY	WYI	Wetherby
WT	WTI	Whatton
WR	WRI	Whitemoor
WC	WCI	Winchester
WO	WOI	Wolds
WH	WHI	Woodhill
WS	WSI	Wormwood Scrubs
WM	WMI	Wymott
