name	official-name
Altcourse	HMP/YOI Altcourse
Ashfield	HMP Ashfield
Askham Grange	HMP/YOI Askham Grange
Aylesbury	HMYOI Aylesbury
Bedford	HMP/YOI Bedford
Belmarsh	HMP/YOI Belmarsh
Berwyn	HMP Berwyn
Birmingham	HMP Birmingham
Blantyre House	HMP Blantyre House
Brinsford	HMP/YOI Brinsford
Bristol	HMP/YOI Bristol
Brixton	HMP Brixton
Bronzefield	HMP/YOI Bronzefield (F)
Buckley Hall	HMP Buckley Hall
Bullingdon	HMP/YOI Bullingdon
Bure	HMP Bure
Cardiff	HMP/YOI Cardiff
Channings Wood	HMP Channings Wood
Chelmsford	HMP/YOI Chelmsford
Coldingley	HMP Coldingley
Cookham Wood	HMYOI Cookham Wood
Dartmoor	HMP Dartmoor
Deerbolt	HMYOI Deerbolt
Doncaster	HMP/YOI Doncaster
Dovegate	HMP Dovegate
Downview	HMP/YOI Downview
Drake Hall	HMP/YOI Drake Hall
Durham	HMP/YOI Durham
East Sutton Park	HMP/YOI East Sutton Park
Eastwood Park	HMP/YOI Eastwood Park
Elmley	HMP/YOI Elmley
Erlestoke	HMP Erlestoke
Exeter	HMP/YOI Exeter
Featherstone	HMP Featherstone
Feltham	HMYOI Feltham
Ford	HMP Ford
Forest Bank	HMP/YOI Forest Bank
Foston Hall	HMP/YOI Foston Hall
Frankland	HMP Frankland
Full Sutton	HMP Full Sutton
Garth	HMP Garth
Gartree	HMP Gartree
Glen Parva	HMP/YOI Glen Parva
Grendon/Springhill	HMP Grendon/Springhill
Guys Marsh	HMP Guys Marsh
Hatfield	HMP/YOI Hatfield
Haverigg	HMP Haverigg
Hewell	HMP Hewell
Highdown	HMP/YOI Highdown
Highpoint	HMP Highpoint
Hindley	HMP/YOI Hindley
Hollesley Bay	HMP/YOI Hollesley Bay
Holme House	HMP/YOI Holme House
Hull	HMP/YOI Hull
Humber	HMP Humber
Huntercombe	HMP Huntercombe (FNP)
Isis	HMP/YOI Isis
Isle of Wight	HMP/YOI Isle of Wight
Kennet	HMP Kennet
Kirkham	HMP Kirkham
Kirklevington Grange	HMP Kirklevington Grange
Lancaster Farms	HMP Lancaster Farms
Leeds	HMP Leeds
Leicester	HMP Leicester
Lewes	HMP/YOI Lewes
Leyhill	HMP Leyhill
Lincoln	HMP/YOI Lincoln
Lindholme	HMP Lindholme
Littlehey	HMP Littlehey
Liverpool	HMP Liverpool
Long Lartin	HMP Long Lartin
Low Newton	HMP/YOI Low Newton
Lowdham Grange	HMP Lowdham Grange
Maidstone	HMP Maidstone (FNP)
Manchester	HMP/YOI Manchester
Medway	Medway STC
Moorland	HMP/YOI Moorland
Morton Hall	HMIRC Morton Hall (IRC)
New Hall	HMP/YOI New Hall
North Sea Camp	HMP North Sea Camp
Northumberland	HMP Northumberland
Norwich	HMP/YOI Norwich
Nottingham	HMP/YOI Nottingham
Oakwood	HMP Oakwood
Onley	HMP Onley
Parc	HMP/YOI Parc (YP)
Pentonville	HMP/YOI Pentonville
Peterborough	HMP/YOI Peterborough (F)
Portland	HMP/YOI Portland
Preston	HMP/YOI Preston
Ranby	HMP Ranby
Risley	HMP Risley
Rochester	HMP/YOI Rochester
Rye Hill	HMP Rye Hill
Send	HMP/YOI Send
Stafford	HMP Stafford
Standford Hill	HMP Standford Hill
Stocken	HMP Stocken
Stoke Heath	HMP/YOI Stoke Heath
Styal	HMP/YOI Styal
Sudbury	HMP Sudbury
Swaleside	HMP Swaleside
Swansea	HMP/YOI Swansea
Swinfen Hall	HMP/YOI Swinfen Hall
Thameside	HMP/YOI Thameside
The Mount	HMP The Mount
The Verne	HMIRC The Verne (IRC)
Thorn Cross	HMP/YOI Thorn Cross
Usk and Prescoed	HMP Usk and HMP/YOI Prescoed
Wakefield	HMP Wakefield
Wandsworth	HMP/YOI Wandsworth
Warren Hill	HMP/YOI Warren Hill
Wayland	HMP Wayland
Wealstun	HMP Wealstun
Werrington	HMYOI Werrington
Wetherby	HMYOI Wetherby
Whatton	HMP Whatton
Whitemoor	HMP Whitemoor
Winchester	HMP/YOI Winchester
Woodhill	HMP/YOI Woodhill
Wormwood Scrubs	HMP/YOI Wormwood Scrubs
Wymott	HMP/YOI Wymott
