hmi	prison
CEM / STI Parc	
CEM Abertawe	
CEM Brynbuga a CEM/STI Prescoed	
CEM Caerdydd	
CEM a Sefydliad Troseddwyr Ifanc y Parc	
CEM/STI y Parc	
Garchar Ei Mawrhydi Caerdydd	
HMP Acklington	AK
HMP Albany	AL
HMP Altcourse	AC
HMP Ashfield	AS
HMP Ashwell	AW
HMP Askham Grange	AG
HMP Bedford	BF
HMP Belmarsh	BA
HMP Birmingham	BM
HMP Blantyre House	BH
HMP Blundeston	BD
HMP Bristol	BL
HMP Brixton	BX
HMP Brockhill	
HMP Bronzefield	BZ
HMP Buckley Hall	BC
HMP Bullingdon	BN
HMP Bullwood Hall	BU
HMP Bure	BR
HMP Camp Hill	CH
HMP Canterbury	CY
HMP Cardiff	CF
HMP Cardiff/CEM Caerdydd	
HMP Channings Wood	CW
HMP Chelmsford	CD
HMP Coldingley	CL
HMP Dartmoor	DA
HMP Doncaster	DN
HMP Dorchester	DR
HMP Dovegate	DG
HMP Dovegate Therapeutic Community	
HMP Downview	DW
HMP Drake Hall	DH
HMP Durham	DM
HMP East Sutton Park	ES
HMP Eastwood Park	EW
HMP Edmunds Hill	NE
HMP Elmley	EY
HMP Erlestoke	EE
HMP Everthorpe	EV
HMP Exeter	EX
HMP Featherstone	FS
HMP Ford	FD
HMP Forest Bank	FB
HMP Foston Hall	FH
HMP Frankland	FK
HMP Full Sutton	FN
HMP Garth	GH
HMP Gartree	GT
HMP Gloucester	GL
HMP Grendon	
HMP Guys Marsh	GM
HMP Hatfield	HD
HMP Haverigg	HV
HMP Hewell	HE
HMP High Down	HO
HMP Highpoint	HP
HMP Hindley	HI
HMP Hollesley Bay	HB
HMP Holloway	HY
HMP Holme House	HH
HMP Hull	HL
HMP Humber	HM
HMP Huntercombe	HC
HMP Isle of Wight	IW
HMP Kennet	KT
HMP Kingston	PT
HMP Kirkham	KM
HMP Kirklevington Grange	KV
HMP Lancaster Castle	
HMP Lancaster Farms	LF
HMP Latchmere House	LM
HMP Leeds	LE
HMP Leicester	LC
HMP Lewes	LW
HMP Leyhill	LY
HMP Lincoln	LI
HMP Lindholme	LH
HMP Littlehey	LT
HMP Liverpool	LP
HMP Long Lartin	LL
HMP Long Lartin Detainee Unit	
HMP Low Newton	LN
HMP Lowdham Grange	LG
HMP Maidstone	MS
HMP Manchester	MR
HMP Moorland	MD
HMP Morton Hall	MH
HMP North Sea Camp	NS
HMP Northumberland	NL
HMP Norwich	NW
HMP Nottingham	NM
HMP Oakwood	OW
HMP Onley	ON
HMP Parkhurst	PK
HMP Pentonville	PV
HMP Peterborough	PB
HMP Preston	PN
HMP Ranby	RN
HMP Risley	RS
HMP Rochester	RC
HMP Rye Hill	RH
HMP Send	SD
HMP Shepton Mallet	SM
HMP Shrewsbury	SY
HMP Springhill	
HMP Stafford	SF
HMP Standford Hill	EH
HMP Stocken	SK
HMP Styal	ST
HMP Sudbury	SU
HMP Swaleside	SL
HMP Swansea	SW
HMP Swinfen Hall	SN
HMP Thameside	TS
HMP The Mount	MT
HMP The Verne	VE
HMP Usk and HMP/YOI Prescoed	
HMP Usk/Prescoed	UK
HMP Wakefield	WD
HMP Wandsworth	WW
HMP Warren Hill	WI
HMP Wayland	WL
HMP Wealstun	WE
HMP Wellingborough	WB
HMP Werrington	WN
HMP Whatton	WT
HMP Whitemoor	WR
HMP Winchester	WC
HMP Wolds	WO
HMP Woodhill	WH
HMP Wormwood Scrubs	WS
HMP Wymott	WM
HMP and YOI Askham Grange	
HMP and YOI Bronzefield	
HMP and YOI Foston Hall	
HMP and YOI Hollesley Bay	
HMP and YOI Holloway	
HMP and YOI Low Newton	
HMP and YOI New Hall	NH
HMP and YOI Peterborough	
HMP and YOI Portland	PD
HMP and YOI Styal	
HMP/YOI Belmarsh	
HMP/YOI Chelmsford	
HMP/YOI Downview	
HMP/YOI Downview Josephine Butler Unit	
HMP/YOI Downview: Josephine Butler Unit	
HMP/YOI Drake Hall	
HMP/YOI East Sutton Park	
HMP/YOI Eastwood Park	
HMP/YOI Eastwood Park Mary Carpenter Unit	
HMP/YOI Elmley	
HMP/YOI Feltham	FM
HMP/YOI Forest Bank	
HMP/YOI Foston Hall	
HMP/YOI Foston Hall Toscana Unit	
HMP/YOI Guys Marsh	
HMP/YOI Hatfield	
HMP/YOI High Down	
HMP/YOI Holloway	
HMP/YOI Isis	IS
HMP/YOI Lewes	
HMP/YOI Littlehey	
HMP/YOI Low Newton	
HMP/YOI Moorland	
HMP/YOI New Hall	
HMP/YOI New Hall Rivendell Unit	
