nomis	prison	name
ACI	AC	ALTCOURSE (HMP)
AGI	AG	ASKHAM GRANGE (HMP & YOI)
ASI	AS	ASHFIELD (HMP)
AYI	AY	AYLESBURY (HMP)
BAI	BA	BELMARSH (HMP)
BCI	BC	BUCKLEY HALL (HMP)
BFI	BF	BEDFORD (HMP)
BHI	BH	BLANTYRE HOUSE (HMP)
BLI	BL	BRISTOL (HMP)
BMI	BM	BIRMINGHAM (HMP)
BNI	BN	BULLINGDON (HMP)
BRI	BR	BURE (HMP)
BSI	BS	BRINSFORD (HMP)
BWI		BERWYN (HMP)
BXI	BX	BRIXTON (HMP)
BZI	BZ	BRONZEFIELD (HMP)
CDI	CD	CHELMSFORD (HMP)
CFI	CF	CARDIFF (HMP)
CKI	CK	COOKHAM WOOD (HMP)
CLI	CL	COLDINGLEY (HMP)
CWI	CW	CHANNINGS WOOD (HMP)
DAI	DA	DARTMOOR (HMP)
DGI	DG	DOVEGATE (HMP)
DHI	DH	DRAKE HALL (HMP & YOI)
DMI	DM	DURHAM (HMP)
DNI	DN	DONCASTER (HMP)
DTI	DT	DEERBOLT (HMPYOI)
DVI	DV	Dover Immigration Removal Centre
DWI	DW	DOWNVIEW (HMP)
EEI	EE	ERLESTOKE (HMP)
EHI	EH	STANDFORD HILL (HMP)
ESI	ES	EAST SUTTON PARK (HMP & YOI)
EWI	EW	EASTWOOD PARK (HMP)
EXI	EX	EXETER (HMP)
EYI	EY	ELMLEY (HMP)
FBI	FB	FOREST BANK (HMP & YOI)
FDI	FD	FORD (HMP)
FHI	FH	FOSTON HALL (HMP)
FKI	FK	FRANKLAND (HMP)
FMI	FM	FELTHAM (HMP & YOI)
FNI	FN	FULL SUTTON (HMP)
FSI	FS	FEATHERSTONE (HMP)
GHI	GH	GARTH (HMP)
GMI	GM	GUYS MARSH (HMP)
GNI		GRENDON (HMP)
GPI	GP	GLEN PARVA (HMPYOI & RC)
GTI	GT	GARTREE (HMP)
HBI	HB	HOLLESLEY BAY (HMP)
HCI	HC	HUNTERCOMBE (HMP)
HDI	HD	HATFIELD (HMP & YOI)
HEI	HE	HMP HEWELL
HHI	HH	HOLME HOUSE (HMP)
HII	HI	HINDLEY (HMP & YOI)
HLI	HL	HULL (HMP)
HMI	HM	HUMBER (HMP)
HOI	HO	HIGH DOWN (HMP)
HPI	HP	HIGHPOINT (HMP)
HRI	HR	Haslar Immigration Removal Centre
HVI	HV	HAVERIGG (HMP)
ISI	IS	ISIS HMP/YOI
IWI	PK	ISLE OF WIGHT (HMP)
KMI	KM	KIRKHAM (HMP)
KTI	KT	KENNET (HMP)
KVI	KV	KIRKLEVINGTON GRANGE (HMP)
LCI	LC	LEICESTER (HMP)
LEI	LE	LEEDS (HMP)
