address	street	address:name	street:name	town	administrative-area	postcode	long	lat
38076557	23602321	HM PRISON ALTCOURSE	HIGHER LANE		LIVERPOOL	L9 7LH	53.4609427	-2.9360306
640757	48016155	HMP AND YOI ASHFIELD	SHORTWOOD ROAD	PUCKLECHURCH	SOUTH GLOUCESTERSHIRE	BS16 9QJ	51.4824203	-2.4388648
100052211414	45802488	HM PRISON ASKHAM GRANGE	MAIN STREET	ASKHAM RICHARD	YORK	YO23 3FT	53.9259353	-1.1840984
766259071	1400056	H M YOUTH CUSTODY CENTRE	BIERTON ROAD	AYLESBURY	BUCKINGHAMSHIRE	HP20 1EH	51.8226074	-0.8017117
100081206238	27301692	H M PRISON	ST LOYES STREET		BEDFORD	MK40 1HG	52.1393336	-0.4702103
100023266926	20801709	HM 	BELMARSH ROAD		THAMESMEAD|GREENWICH	SE28 0EB	51.4968464	0.0927315
100071434380	2702946	WINSON GREEN PRISON	WINSON GREEN ROAD		BIRMINGHAM	B18 4AS	52.4925041	-1.9385072
10000064793	41102052	BLANTYRE HOUSE	HORDEN ROAD	GOUDHURST	CRANBROOK|KENT	TN17 2NH	51.1341774	0.5037835
200004529143	36700321	HMYOI BRINSFORD	NEW ROAD		FEATHERSTONE|STAFFORDSHIRE	WV10 7PY	52.6502009	-2.112407
221691	4530974	H M PRISON Bedford	CAMBRIDGE ROAD	BISHOPSTON	BRISTOL	BS7 8PS	51.4806086	-2.5906671
200000487964	21900756	H M PRISON BRIXTON	JEBB AVENUE	London	Lambeth	SW2 5XF	51.4518247	-0.1254682
33043320	37201029	HMP BRONZEFIELD	WOODTHORPE ROAD	ASHFORD	SURREY	TW15 3JZ	51.4329206	-0.4828301
23107795	32002812	HM PRISON BUCKLEY HALL	BUCKLEY FARM LANE	ROCHDALE	Lancashire	OL12 9DP	53.6349768	-2.1450482
100120801929	6801146	HM PRISON BULLINGDON	PATRICK HAUGH ROAD		UPPER ARNCOTT|OXFORDSHIRE	OX25 1PZ	51.8485032	-1.0944022
10023452387	28103641	HMP Bure	Jaguar Drive	Badersfield	Norfolk	NR10 5GB	52.759037	1.3470283
200002933741	5801144	H M PRISON	KNOX ROAD	ADAMSDOWN	CAERDYDD	CF24 0UG	51.4808559	-3.1682455
10032952569	39805328	HER MAJESTYS PRISON CHANNINGS WOOD	ROAD FROM HM PRISON TO DENBURY ROAD	DENBURY	DEVON	TQ12 6DW	50.5104795	-3.651837
200004625000	6601663	HM PRISON, 200	SPRINGFIELD ROAD	CHELMSFORD	ESSEX	CM2 6LQ	51.736731	0.4846802
200001339117	38801065	H M PRISON COLDINGLEY	SHAFTESBURY ROAD	BISLEY	SURREY	GU24 9EX	51.3219055	-0.6430417
100062374701	32101733	HM YOUTH CUSTODY CENTRE	SIR EVELYN ROAD	ROCHESTER	MEDWAY	ME1 3LU	51.3638489	0.4941925
10001330266	43101131	HM PRISON DARTMOOR	TAVISTOCK ROAD	PRINCETOWN	DEVON	PL20 6RR	50.5492123	-3.9975532
10070413833	39745023	DEERBOLT	LARTINGTON LANE	LARTINGTON	DURHAM	DL12 9BG	54.5435279	-1.9372039
100052207601	11202990	HMP DONCASTER	MARSHGATE		DONCASTER	DN5 8UX	53.5251981	-1.1450054
10008039764	12901066	HM PRISON DOVEGATE	MORETON LANE	DRAYCOTT IN THE CLAY	STAFFORDSHIRE	ST14 8XR	52.8706239	-1.7822397
68136669	31200703	HMP DOWNVIEW	HIGHDOWN LANE		BANSTEAD|SURREY	SM2 5PD	51.3390805	-0.1884185
10002088530	37600923	HMYOI DRAKE HALL	SWYNNERTON ROAD	STURBRIDGE	STAFFORDSHIRE	ST21 6LQ	52.8788467	-2.240833
