name	prison
Altcourse	AC
Ashfield	AS
Askham Grange	AG
Aylesbury	AY
Bedford	BF
Belmarsh	BA
Berwyn	BW
Birmingham	BM
Blantyre House	BH
Brinsford	BS
Bristol	BL
Brixton	BX
Bronzefield	BZ
Buckley Hall	BC
Bullingdon	BN
Bure	BR
Cardiff	CF
Channings Wood	CW
Chelmsford	CD
Coldingley	CL
Cookham Wood	CK
Dartmoor	DA
Deerbolt	DT
Doncaster	DN
Dovegate	DG
Downview	DW
Drake Hall	DH
Durham	DM
East Sutton Park	ES
Eastwood Park	EW
Elmley	EY
Erlestoke	EE
Exeter	EX
Featherstone	FS
Feltham	FM
Ford	FD
Forest Bank	FB
Foston Hall	FH
Frankland	FK
Full Sutton	FN
Garth	GH
Gartree	GT
Glen Parva	GP
Grendon/ Spring Hill	GN
Guys Marsh	GM
Hatfield	HD
Haverigg	HV
Hewell	HE
High Down	HO
Highpoint	HP
Hindley	HI
Hollesley Bay	HB
Holme House	HH
Hull	HL
Humber	HM
Huntercombe	HC
Isis	IS
Isle of Wight	IW
Kirkham	KM
Kirklevington Grange	KV
Lancaster Farms	LF
Leeds	LE
Leicester	LC
Lewes	LW
Leyhill	LY
Lincoln	LI
Lindholme	LH
Littlehey	LT
Liverpool	LP
Long Lartin	LL
Low Newton	LN
Lowdham Grange	LG
Maidstone	MS
Manchester	MR
Medway	MW
Moorland	MD
Morton Hall	MH
New Hall	NH
North Sea Camp	NS
Northumberland	NL
Norwich	NW
Nottingham	NM
Oakwood	OW
Onley	ON
Parc	PR
Pentonville	PV
Peterborough	PB
Portland	PD
Preston	PN
Ranby	RN
Risley	RS
Rochester	RC
Rye Hill	RH
Send	SD
Stafford	SF
Standford Hill	EH
Stocken	SK
Stoke Heath	SH
Styal	ST
Sudbury	SU
Swaleside	SL
Swansea	SW
Swinfen Hall	SN
Thameside	TS
Mount, The	MT
Verne, The	VE
Thorn Cross	TC
Usk / Prescoed	UK
Wakefield	WD
Wandsworth	WW
Warren Hill	WI
Wayland	WL
Wealstun	WE
Werrington	WN
Wetherby	WY
Whatton	WT
Whitemoor	WR
Winchester	WC
Woodhill	WH
Wormwood Scrubs	WS
Wymott	WM
